          the largest integer is 170141183460469231731687303715884105727
the largest hailstone integer is  56713727820156410577229101238628035242
 rec  dly seed
   1    1 2
   2    7 3
   3    8 6
   4   16 7
   5   19 9
   6   20 18
   7   23 25
   8  111 27
   9  112 54
  10  115 73
  11  118 97
  12  121 129
  13  124 171
  14  127 231
  15  130 313
  16  143 327
  17  144 649
  18  170 703
  19  178 871
  20  181 1161
  21  182 2223
  22  208 2463
  23  216 2919
  24  237 3711
  25  261 6171
  26  267 10971
  27  275 13255
  28  278 17647
  29  281 23529
  30  307 26623
  31  310 34239
  32  323 35655
  33  339 52527
  34  350 77031
  35  353 106239
  36  374 142587
  37  382 156159
  38  385 216367
  39  442 230631
  40  448 410011
  41  469 511935
  42  508 626331
  43  524 837799
  44  527 1117065
  45  530 1501353
  46  556 1723519
  47  559 2298025
  48  562 3064033
  49  583 3542887
  50  596 3732423
  51  612 5649499
  52  664 6649279
  53  685 8400511
  54  688 11200681
  55  691 14934241
  56  704 15733191
  57  705 31466382
  58  744 36791535
  59  949 63728127
  60  950 127456254
  61  953 169941673
  62  956 226588897
  63  964 268549803
  64  965 537099606
  65  986 670617279
  66  987 1341234558
  67 1000 1412987847
  68 1008 1674652263
  69 1050 2610744987
  70 1087 4578853915
  71 1131 4890328815
  72 1132 9780657630
  73 1153 12212032815
  74 1184 12235060455
  75 1210 13371194527
  76 1213 17828259369
  77 1219 31694683323
  78 1220 63389366646
  79 1228 75128138247
  80 1234 133561134663
  81 1242 158294678119
  82 1255 166763117679
  83 1307 202485402111
  84 1308 404970804222
  85 1321 426635908975
  86 1324 568847878633
  87 1332 674190078379
  -1  350 800376916495
